,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
0,13300000,7420,4,2,3,1,0,0,0,1,2,1
1,12250000,9960,3,2,2,1,0,1,0,0,2,1
2,11410000,7420,4,1,2,1,1,1,0,1,2,0
3,10850000,7500,3,3,1,1,0,1,0,1,2,1
4,10150000,16200,5,3,2,1,0,0,0,0,0,0
5,9870000,8100,4,1,2,1,1,1,0,1,2,1
6,9800000,5750,3,2,4,1,1,0,0,1,1,1
7,9800000,13200,3,1,2,1,0,1,0,1,2,1
8,9310000,6550,4,2,2,1,0,0,0,1,1,1
9,9240000,3500,4,2,2,1,0,0,1,0,2,0
10,9240000,7800,3,2,2,1,0,0,0,0,0,1
11,9100000,6000,4,1,2,1,0,1,0,0,2,0
12,9100000,6600,4,2,2,1,1,1,0,1,1,1
13,8960000,8500,3,2,4,1,0,0,0,1,7,0
14,8890000,4600,3,2,2,1,1,0,0,1,2,0
15,8855000,6420,3,2,2,1,0,0,0,1,1,1
16,8750000,4320,3,1,2,1,0,1,1,0,2,0
17,8680000,7155,3,2,1,1,1,1,0,1,2,0
18,8645000,8050,3,1,1,1,1,1,0,1,1,0
19,8645000,4560,3,2,2,1,1,1,0,1,1,0
20,8575000,8800,3,2,2,1,0,0,0,1,2,0
21,8540000,6540,4,2,2,1,1,1,0,1,2,1
22,8463000,6000,3,2,4,1,1,1,0,1,0,1
23,8400000,8875,3,1,1,1,0,0,0,0,1,0
24,8400000,5500,4,2,2,1,0,1,0,1,1,1
25,8400000,7475,3,2,4,1,0,0,0,1,2,0
26,8400000,7000,3,1,4,1,0,0,0,1,2,0
27,8295000,4880,4,2,2,1,0,0,0,1,1,1
28,8190000,5960,3,3,2,1,1,1,0,0,1,0
29,8120000,6840,5,1,2,1,1,1,0,1,1,0
30,8080940,7000,3,2,4,1,0,0,0,1,2,0
31,8043000,7482,3,2,3,1,0,0,1,0,1,1
32,7980000,9000,4,2,4,1,0,0,0,1,2,0
33,7962500,6000,3,1,4,1,1,0,0,1,2,0
34,7910000,6000,4,2,4,1,0,0,0,1,1,0
35,7875000,6550,3,1,2,1,0,1,0,1,0,1
36,7840000,6360,3,2,4,1,0,0,0,1,0,1
37,7700000,6480,3,2,4,1,0,0,0,1,2,0
38,7700000,6000,4,2,4,1,0,0,0,0,2,0
39,7560000,6000,4,2,4,1,0,0,0,1,1,0
40,7560000,6000,3,2,3,1,0,0,0,1,0,0
