,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
172,5033000,4800,2,1,1,1,1,1,0,0,0,0
469,6650000,4040,3,1,2,1,0,1,1,0,1,0
196,4200000,2325,3,1,2,0,0,0,0,0,0,0
417,6650000,6000,3,2,3,1,1,0,0,1,0,0
535,5250000,8520,3,1,1,1,0,0,0,1,2,0
210,5250000,3800,3,1,2,1,1,1,0,0,1,1
490,4900000,2970,3,1,3,1,0,0,0,0,0,0
236,3430000,2145,3,1,3,1,0,0,0,0,0,1
319,5565000,5400,5,1,2,1,1,1,0,1,0,1
162,3290000,4040,2,1,1,1,0,0,0,0,0,0
281,1820000,3000,2,1,1,1,0,1,0,0,2,0
71,5243000,6050,3,1,1,1,0,1,0,0,0,1
475,2520000,3180,3,1,1,0,0,0,0,0,0,0
480,3325000,4040,2,1,1,1,0,0,0,0,1,0
108,8890000,4600,3,2,2,1,1,0,0,1,2,0
413,6440000,8580,5,3,2,1,0,0,0,0,2,0
424,4130000,4632,4,1,2,1,0,0,0,1,0,0
289,5530000,6100,3,2,1,1,0,1,0,0,2,1
380,8750000,4320,3,1,2,1,0,1,1,0,2,0
78,3150000,3986,2,2,1,0,1,1,0,0,1,0
140,4900000,4120,2,1,1,1,0,1,0,0,1,0
308,4305000,10360,2,1,1,1,0,0,0,0,1,1
134,6650000,6500,3,2,3,1,0,0,0,1,0,1
491,3605000,4000,2,1,1,1,0,0,0,0,0,1
211,5600000,5000,3,1,4,1,0,0,0,0,0,0
375,2450000,3500,2,1,1,1,1,0,0,0,0,0
247,4270000,6360,2,1,1,1,0,0,0,0,0,0
299,7840000,6360,3,2,4,1,0,0,0,1,0,1
45,5250000,4260,4,1,2,1,0,1,0,1,0,0
15,7245000,9000,4,2,4,1,1,0,0,1,1,1
188,3500000,3640,2,1,1,1,0,0,0,0,1,0
153,5110000,11410,2,1,2,1,0,0,0,0,0,1
229,2660000,3630,3,3,2,0,1,0,0,0,0,0
338,4340000,6450,4,1,2,1,0,0,0,0,0,0
17,4305000,4400,2,1,1,1,0,0,0,0,1,0
102,3395000,3640,2,1,1,1,0,0,0,0,0,0
378,3920000,2145,4,2,1,1,0,1,0,0,0,1
142,2695000,4000,2,1,1,1,0,0,0,0,0,0
245,4403000,4880,3,1,1,1,0,0,0,0,2,1
367,3885000,3780,2,1,2,1,1,1,0,0,0,0
159,4865000,4350,2,1,1,1,0,1,0,0,0,0
346,5880000,7160,3,1,1,1,0,1,0,0,2,1
246,5600000,4700,4,1,2,1,1,1,0,1,1,0
165,8400000,5500,4,2,2,1,0,1,0,1,1,1
206,7980000,9000,4,2,4,1,0,0,0,1,2,0
476,4900000,5800,2,1,1,1,1,1,0,1,0,0
315,2835000,2640,2,1,1,0,0,0,0,0,1,0
107,3290000,2500,2,1,1,0,0,0,0,1,0,0
339,4760000,9166,2,1,1,1,0,1,0,1,2,0
155,4060000,4992,3,2,2,1,0,0,0,0,2,0
506,5565000,4400,4,1,2,1,0,0,0,1,2,1
126,4340000,1905,5,1,2,0,0,1,0,0,0,0
46,3430000,3185,2,1,1,1,0,0,0,0,2,0
421,3500000,3650,3,1,2,1,0,0,0,0,0,0
351,2100000,2400,3,1,2,1,0,0,0,0,0,0
96,3353000,2700,3,1,1,0,0,0,0,0,0,0
37,4123000,6060,2,1,1,1,0,1,0,0,1,0
21,3115000,3850,3,1,2,1,0,0,0,0,0,0
66,4235000,2787,3,1,1,1,0,1,0,0,0,1
495,1890000,3649,2,1,1,1,0,0,0,0,0,0
422,9240000,7800,3,2,2,1,0,0,0,0,0,1
316,6020000,6900,3,2,1,1,1,1,0,0,0,1
