,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
333,5495000,2817,4,2,2,0,1,1,0,0,1,0,1,0,0
37,3118850,2398,3,1,1,1,0,0,0,0,0,1,0,1,0
396,4473000,3162,3,1,2,1,0,0,0,1,1,0,1,0,0
494,3500000,3640,2,1,1,1,0,0,0,0,1,0,0,1,0
536,5033000,4800,2,1,1,1,1,1,0,0,0,0,0,1,0
65,3640000,3570,3,1,2,1,0,1,0,0,0,0,0,1,0
121,6650000,6000,3,2,3,1,1,0,0,1,0,0,1,0,0
330,10150000,8580,4,3,4,1,0,0,0,1,2,1,0,1,0
204,6510000,3760,3,1,2,1,0,0,1,0,2,0,0,1,0
370,5950000,7020,3,1,1,1,0,1,0,1,2,1,0,1,0
426,9681000,6000,4,3,2,1,1,1,1,0,2,0,0,1,0
283,2450000,7700,2,1,1,1,0,0,0,0,0,0,0,0,1
473,4620000,3880,3,2,2,1,0,1,0,0,2,0,0,1,0
168,4025000,3460,3,2,1,1,0,1,0,1,1,0,1,0,0
282,3465000,3060,3,1,1,1,0,0,0,0,0,0,0,0,1
202,2940000,3480,3,1,2,0,0,0,0,0,1,0,0,1,0
210,5950000,6525,3,2,4,1,0,0,0,0,1,0,1,0,0
467,3885000,3780,2,1,2,1,1,1,0,0,0,0,0,1,0
166,9870000,8100,4,1,2,1,1,1,0,1,2,1,1,0,0
23,1750000,2910,3,1,1,0,0,0,0,0,0,0,1,0,0
126,4200000,2610,4,3,2,0,0,0,0,0,0,0,0,1,0
190,7350000,6000,3,1,2,1,0,0,0,1,1,0,0,0,1
219,1855000,2990,2,1,1,0,0,0,0,0,1,0,0,0,1
515,3430000,2145,3,1,3,1,0,0,0,0,0,1,1,0,0
114,5600000,6600,4,2,1,1,0,1,0,0,0,1,0,1,0
542,3087000,8100,2,1,1,1,0,0,0,0,1,0,0,0,1
418,4515000,3450,3,1,2,1,0,1,0,0,1,0,0,1,0
428,5600000,4800,5,2,3,0,0,1,1,0,0,0,0,0,1
223,7700000,6000,4,2,4,1,0,0,0,0,2,0,0,1,0
508,3290000,4040,2,1,1,1,0,0,0,0,0,0,0,0,1
338,4270000,6360,2,1,1,1,0,0,0,0,0,0,1,0,0
201,7560000,6000,4,2,4,1,0,0,0,1,1,0,1,0,0
425,7210000,6000,3,2,4,1,1,0,0,1,1,0,1,0,0
376,3500000,5900,2,1,1,1,0,0,0,0,1,0,1,0,0
212,3570000,4500,4,2,2,1,0,1,0,0,2,0,1,0,0
468,5740000,4640,4,1,2,1,0,0,0,0,1,0,0,1,0
479,5950000,6540,3,1,1,1,1,1,0,0,2,1,1,0,0
88,3780000,2856,3,1,3,1,0,0,0,0,0,1,1,0,0
198,6895000,7700,3,2,1,1,0,0,0,0,2,0,0,0,1
248,4480000,8250,3,1,1,1,0,0,0,0,0,0,1,0,0
416,4200000,2145,3,1,3,1,0,0,0,0,1,1,0,0,1
539,4900000,4770,3,1,1,1,1,1,0,0,0,0,0,1,0
448,3150000,1650,3,1,2,0,0,1,0,0,0,0,0,0,1
42,4690000,6000,2,1,1,1,0,1,0,1,1,0,1,0,0
390,3920000,8080,3,1,1,1,0,0,0,1,2,0,0,1,0
157,4795000,8100,4,1,4,1,0,1,0,1,2,0,0,1,0
361,3115000,3000,3,1,1,0,0,0,0,1,0,0,0,0,1
127,4515000,9860,3,1,1,1,0,0,0,0,0,0,0,1,0
379,3332000,2145,3,1,2,1,0,1,0,0,0,1,1,0,0
67,9100000,6000,4,1,2,1,0,1,0,0,2,0,0,1,0
112,5950000,7320,4,2,2,1,0,0,0,0,0,0,1,0,0
436,8645000,8050,3,1,1,1,1,1,0,1,1,0,1,0,0
97,8400000,5500,4,2,2,1,0,1,0,1,1,1,0,1,0
395,3675000,3630,2,1,1,1,0,0,0,1,0,0,0,0,1
179,4200000,4410,2,1,1,0,0,0,0,0,1,0,0,0,1
107,9240000,7800,3,2,2,1,0,0,0,0,0,1,0,1,0
175,2730000,6800,2,1,1,1,0,0,0,0,0,0,0,0,1
140,6300000,9000,3,1,1,1,0,1,0,0,1,1,1,0,0
226,4095000,3680,3,2,2,1,0,0,0,0,0,0,0,1,0
302,4900000,2970,3,1,3,1,0,0,0,0,0,0,0,1,0
102,5460000,6210,4,1,4,1,1,0,0,1,0,0,1,0,0
160,2940000,3660,4,1,2,0,0,0,0,0,0,0,0,0,1
524,4620000,5010,3,1,2,1,0,1,0,0,0,0,0,1,0
98,4305000,4400,2,1,1,1,0,0,0,0,1,0,0,1,0
389,6195000,5500,3,2,4,1,1,0,0,1,1,0,0,1,0
150,5803000,7000,3,1,1,1,0,1,0,0,2,1,0,1,0
293,4550000,3760,3,1,1,1,0,0,0,0,2,0,0,1,0
504,4340000,6450,4,1,2,1,0,0,0,0,0,0,0,1,0
356,2660000,4000,3,1,1,1,0,0,0,0,0,0,0,1,0
247,3500000,3480,3,1,1,0,0,0,0,1,0,0,0,0,1
116,5740000,5400,4,2,2,1,0,0,0,1,2,0,0,0,1
8,3920000,2145,4,2,1,1,0,1,0,0,0,1,0,0,1
194,5943000,15600,3,1,1,1,0,0,0,1,2,0,0,1,0
359,8400000,7950,5,2,2,1,0,1,1,0,2,0,0,0,1
497,2485000,4400,3,1,2,1,0,0,0,0,0,0,0,0,1
469,6475000,7410,3,1,1,1,1,1,0,1,2,1,0,0,1
392,6419000,6750,2,1,1,1,1,1,0,0,2,1,1,0,0
34,3290000,2145,3,1,2,1,0,1,0,0,0,1,1,0,0
368,9310000,6550,4,2,2,1,0,0,0,1,1,1,0,1,0
449,3430000,3850,3,1,1,1,0,0,0,0,0,0,0,0,1
1,2590000,4400,2,1,1,1,0,0,0,0,0,0,0,0,1
326,4760000,9166,2,1,1,1,0,1,0,1,2,0,0,1,0
11,6090000,6600,3,1,1,1,1,1,0,0,2,1,0,1,0
86,4193000,8250,3,1,1,1,0,1,0,0,3,0,0,1,0
263,4690000,3630,3,1,2,1,0,0,0,0,2,0,0,1,0
138,4403000,4920,3,1,2,1,0,0,0,0,1,0,0,1,0
332,6195000,6350,3,2,3,1,1,0,0,1,0,0,1,0,0
430,5425000,6825,3,1,1,1,1,1,0,1,0,1,0,1,0
498,3010000,2835,2,1,1,1,0,0,0,0,0,0,0,1,0
77,2653000,4000,3,1,2,1,0,0,0,1,0,0,0,0,1
451,4795000,7000,3,1,2,1,0,1,0,0,0,0,0,0,1
259,3675000,3600,2,1,1,1,0,0,0,0,0,0,1,0,0
447,3080000,2160,3,1,2,0,0,1,0,0,0,0,0,1,0
24,4270000,6360,2,1,2,1,0,0,0,0,0,0,0,0,1
115,4403000,2880,3,1,2,1,0,0,0,0,0,1,0,1,0
453,5250000,6540,4,2,2,0,0,0,0,1,0,0,0,1,0
16,2380000,2787,4,2,2,1,0,0,0,0,0,0,1,0,0
310,2852500,5200,4,1,3,1,0,0,0,0,0,0,0,0,1
188,3353000,2700,3,1,1,0,0,0,0,0,0,0,1,0,0
382,5600000,4700,4,1,2,1,1,1,0,1,1,0,1,0,0
407,3150000,3069,2,1,1,1,0,0,0,0,1,0,0,0,1
46,2100000,3000,4,1,2,1,0,0,0,0,0,0,0,0,1
270,3920000,3000,3,1,2,1,0,0,0,0,0,0,0,1,0
208,5075000,5720,2,1,2,1,0,0,0,1,0,1,0,0,1
269,13300000,7420,4,2,3,1,0,0,0,1,2,1,1,0,0
472,4543000,4990,4,2,2,1,1,1,0,0,0,1,1,0,0
521,9100000,6600,4,2,2,1,1,1,0,1,1,1,0,0,1
145,6615000,10500,3,2,1,1,0,1,0,1,1,1,1,0,0
244,1960000,3420,5,1,2,0,0,0,0,0,0,0,0,0,1
271,3465000,2145,3,1,3,1,0,0,0,0,0,1,1,0,0
355,4830000,6040,3,1,1,1,0,0,0,0,2,1,0,1,0
151,7070000,6240,4,2,2,1,0,0,0,1,1,0,1,0,0
29,4830000,6862,3,1,2,1,0,0,0,1,2,1,1,0,0
534,3500000,7350,2,1,1,1,0,0,0,0,1,0,0,1,0
170,3423000,4040,2,1,1,1,0,0,0,0,0,0,0,0,1
487,7840000,6360,3,2,4,1,0,0,0,1,0,1,1,0,0
38,3780000,3420,2,1,2,1,0,0,1,0,1,0,0,1,0
511,2870000,3040,2,1,1,0,0,0,0,0,0,0,0,0,1
81,3150000,3450,3,1,2,1,0,1,0,0,0,0,0,1,0
337,4620000,4160,3,1,1,1,1,1,0,1,0,0,0,0,1
222,3010000,3630,4,1,2,1,0,0,0,0,3,0,0,1,0
522,6650000,4040,3,1,2,1,0,1,1,0,1,0,1,0,0
514,4270000,4360,4,1,2,1,0,0,0,0,0,0,1,0,0
423,5565000,4400,4,1,2,1,0,0,0,1,2,1,0,1,0
464,1820000,3000,2,1,1,1,0,1,0,0,2,0,0,0,1
398,3325000,4775,4,1,2,1,0,0,0,0,0,0,0,0,1
25,5652500,6660,4,2,2,1,1,1,0,0,1,1,0,1,0
177,4130000,5985,3,1,1,1,0,1,0,0,0,0,0,1,0
477,6107500,3240,4,1,3,1,0,0,0,0,1,0,0,1,0
120,9800000,13200,3,1,2,1,0,1,0,1,2,1,1,0,0
490,4235000,6650,3,1,2,1,1,0,0,0,0,0,0,1,0
458,4543000,4100,2,2,1,1,1,1,0,0,0,0,0,1,0
206,2604000,2910,2,1,1,0,0,0,0,0,0,0,0,0,1
148,6160000,5450,4,2,1,1,0,1,0,1,0,1,0,1,0
76,3780000,5830,2,1,1,1,0,0,0,0,2,0,0,0,1
100,3640000,2275,3,1,3,1,0,0,1,1,0,1,0,1,0
87,3360000,4750,2,1,1,1,0,0,0,0,0,0,0,0,1
378,5215000,7200,3,1,2,1,1,1,0,0,1,1,1,0,0
505,4200000,5850,2,1,1,1,1,1,0,0,2,0,0,1,0
304,2275000,1836,2,1,1,0,0,1,0,0,0,0,0,1,0
238,6405000,4800,3,2,4,1,1,0,0,1,0,0,1,0,0
328,6650000,5700,3,1,1,1,1,1,0,1,2,1,1,0,0
162,3710000,3600,3,1,1,1,0,0,0,0,1,0,0,0,1
409,7490000,6600,3,1,4,1,0,0,0,1,3,1,1,0,0
172,4319000,4032,2,1,1,1,0,1,0,0,0,0,1,0,0
253,4515000,3520,2,1,2,1,0,0,0,0,0,1,1,0,0
124,2485000,3000,3,1,2,0,0,0,0,0,0,0,0,1,0
530,3080000,4500,2,1,2,1,0,0,1,0,1,0,0,1,0
20,5110000,6100,3,1,1,1,0,1,0,1,0,1,0,1,0
99,2233000,5300,3,1,1,0,0,0,0,1,0,1,0,0,1
441,3920000,5500,4,1,2,1,1,1,0,0,0,0,0,1,0
408,3780000,3600,2,1,1,1,0,0,0,0,0,0,0,1,0
31,3675000,3630,2,1,1,1,0,1,0,0,0,0,1,0,0
257,5530000,6100,3,2,1,1,0,1,0,0,2,1,1,0,0
319,7980000,9000,4,2,4,1,0,0,0,1,2,0,1,0,0
191,4900000,4520,3,1,2,1,0,1,0,1,0,0,0,1,0
243,1767150,2400,3,1,1,0,0,0,0,0,0,0,0,1,0
2,5600000,5500,3,2,2,1,0,0,0,0,1,0,0,1,0
413,2800000,3960,3,1,1,1,0,0,0,0,0,0,1,0,0
284,3360000,3750,3,1,1,1,0,0,0,0,0,0,0,0,1
246,2940000,4960,2,1,1,1,0,0,0,0,0,0,0,0,1
352,2800000,2650,3,1,2,1,0,1,0,0,1,0,0,0,1
512,3703000,5450,2,1,1,1,0,0,0,0,0,0,1,0,0
